id,objective,theta0,theta1
35.0,0.11983603350318985,1.387134761166049,5.9256907656207245,
36.0,0.11691138508283254,1.3773503067891106,5.94014272724504,
37.0,0.1144340581352366,1.3683451465938163,5.953443645676419,
38.0,0.11233563537694277,1.360057212794049,5.965685197080799,
39.0,0.11055816386604665,1.352429381064279,5.976951755969888,
40.0,0.10905255449369435,1.3454090768119307,5.987320976749852,
41.0,0.1077772262714303,1.3389479128086412,5.996864328951895,
42.0,0.10669695797317802,1.3330013556827967,6.005647589833775,
43.0,0.10578191541720208,1.3275284189746535,6.013731297747507,
44.0,0.105006827524129,1.3224913806384435,6.02117116939806,
45.0,0.1043502883959033,1.3178555230443478,6.02801848386902,
46.0,0.10379416614094,1.313588893688316,6.03432043606207,
47.0,0.10332310211875201,1.3096620849604255,6.040120461986384,
48.0,0.10292408677451931,1.3060480314538463,6.045458538139962,
49.0,0.10258610034924809,1.3027218234173699,6.0503714570464,
50.0,0.10229980854288265,1.299660535065723,6.054893080846215,
51.0,0.1020573047253821,1.2968430665643067,6.059054574690589,
52.0,0.1018518915762977,1.2942499985992444,6.062884621546206,
53.0,0.10167789612232278,1.291863458530367,6.066409619891704,
54.0,0.10153051306462216,1.2896669972045942,6.06965386566837,
55.0,0.10140567206906256,1.287645475580663,6.072639719739153,
56.0,0.10129992535423919,1.2857849603837546,6.075387762010223,
57.0,0.10121035247278548,1.2840726280708326,6.077916933277325,
58.0,0.10113447965625974,1.2824966764447732,6.080244665774629,
59.0,0.10107021149614162,1.281046243308088,6.082387003325859,
60.0,0.10101577307413337,1.2797113315955655,6.08435871192585,
61.0,0.10096966094356538,1.2784827404698127,6.086173381514703,
62.0,0.10093060160813432,1.2773520019047686,6.08784351964603,
63.0,0.10089751635127273,1.2763113223200981,6.089380637694872,
64.0,0.10086949144481862,1.275353528864183,6.090795330199498,
65.0,0.10084575291423845,1.2744720199754656,6.092097347883923,
66.0,0.1008256451634765,1.2736607198813918,6.093295664864479,
67.0,0.10080861286910918,1.2729140367213363,6.094398540503624,
68.0,0.1007941856437633,1.2722268240048789,6.095413576337344,
69.0,0.10078196504525404,1.271594345139779,6.096347768468501,
70.0,0.1007716135726483,1.2710122407851632,6.09720755578726,
71.0,0.10076284534537913,1.2704764988048998,6.097998864350929,
72.0,0.10075541820796777,1.2699834266140797,6.098727148229133,
73.0,0.10074912704232726,1.269529625727988,6.099397427095815,
74.0,0.10074379810293616,1.2691119683381538,6.100014320827183,
75.0,0.10073928421844208,1.268727575754029,6.100582081344064,
76.0,0.10073546072717476,1.268373798561702,6.101104621918132,
77.0,0.1007322220343167,1.268048198362895,6.101585544144017,
78.0,0.1007294786956516,1.2677485309683814,6.102028162763179,
79.0,0.10072715494735048,1.2674727309299794,6.102435528510662,
80.0,0.10072518661356755,1.267218897304516,6.10281044914219,
81.0,0.10072351933407976,1.266985280551635,6.103155508786537,
82.0,0.1007221070629922,1.2667702704751451,6.1034730857565505,
83.0,0.10072091079707629,1.2665723851247925,6.103765368941605,
84.0,0.10071989749859858,1.2663902605819637,6.104034372894448,
85.0,0.1007190391829095,1.2662226415589208,6.104281951716445,
86.0,0.1007183121455773,1.2660683727467694,6.104509811836912,
87.0,0.10071769630773433,1.2659263908525278,6.104719523774633,
88.0,0.1007171746615515,1.2657957172704126,6.104912532962605,
89.0,0.10071673280052784,1.2656754513368296,6.105090169710643,
90.0,0.10071635852161798,1.2655647641225785,6.105253658374501,
91.0,0.10071604148821939,1.2654628927194833,6.1054041257947,
92.0,0.10071577294469904,1.2653691349820708,6.105542609063246,
93.0,0.10071554547458941,1.265282844688058,6.105670062671755,
94.0,0.10071535279575955,1.2652034270842805,6.105787365090252,
95.0,0.10071518958692637,1.2651303347873784,6.1058953248220025,
96.0,0.10071505134068873,1.2650630640109726,6.1059946859760945,
97.0,0.10071493423904748,1.265001151093332,6.106086133396188,
98.0,0.10071483504796216,1.2649441693016008,6.106170297380776,
99.0,0.10071475102803387,1.2648917258905545,6.106247758027501,
